id,key,value,type
33545352,highway,motorway,regular
33545352,lanes,3,regular
33545352,layer,1,regular
33545352,name,guangzhouhuanchenggaosu,regular
33545352,oneway,yes,regular
33545352,ref,S81,regular
33545353,bridge,yes,regular
33545353,highway,motorway,regular
33545353,lanes,3,regular
33545353,name,guangzhouhuanchenggaosu,regular
33545353,oneway,yes,regular
33545353,ref,S81,regular
33545354,bridge,yes,regular
33545354,highway,motorway,regular
33545354,lanes,3,regular
33545354,layer,1,regular
33545354,name,guangzhouhuanchenggaosu,regular
33545354,oneway,yes,regular
33545354,ref,S81,regular
33563313,bridge,viaduct,regular
33563313,highway,primary_link,regular
33563313,layer,1,regular
33563313,oneway,yes,regular
33563315,bridge,viaduct,regular
33563315,construction,primary_link,regular
33563315,highway,primary_link,regular
33563315,layer,1,regular
33563315,oneway,yes,regular
34323862,highway,primary,regular
34323862,name,linhezhonglu,regular
34323862,oneway,yes,regular
34323864,highway,secondary_link,regular
34323864,oneway,yes,regular
34323868,highway,primary,regular
34323868,name,hengfulu,regular
34323868,name:en,Hengfu Road,regular
34323868,oneway,yes,regular
34323870,highway,secondary_link,regular
34323870,name,luhulu,regular
34323870,oneway,yes,regular
34323871,highway,steps,regular
34323872,highway,steps,regular
34323873,highway,steps,regular
34323874,bridge,yes,regular
34323874,highway,footway,regular
34323874,layer,1,regular
34323875,highway,steps,regular
34323876,highway,tertiary,regular
34323876,junction,roundabout,regular
34323880,aerialway,cable_car,regular
34323880,layer,1,regular
34323880,name,baiyunshansuodao,regular
34323880,name:en,Baiyun Cable Way,regular
34323883,highway,steps,regular
34323884,highway,footway,regular
34323885,highway,steps,regular
34323886,highway,footway,regular
34323887,highway,pedestrian,regular
34323888,highway,footway,regular
34323889,highway,footway,regular
34323890,highway,footway,regular
34323891,highway,steps,regular
34323893,highway,steps,regular
34323896,highway,footway,regular
34323897,landuse,basin,regular
34323898,highway,footway,regular
34323899,highway,footway,regular
34323900,highway,footway,regular
34323901,highway,footway,regular
34323902,highway,service,regular
34374856,highway,secondary,regular
34374856,name,linlelu,regular
34374856,oneway,yes,regular
34374857,highway,tertiary,regular
34374859,highway,primary,regular
34374859,name,tianhebeilu,regular
34374859,oneway,yes,regular
34374860,highway,secondary,regular
34374860,oneway,yes,regular
34374861,highway,trunk,regular
34374861,lanes,3,regular
34374861,oneway,yes,regular
34374862,fixme,no tunnel on the bing imagery,regular
34374862,highway,trunk,regular
34374862,lanes,3,regular
34374862,name,guangzhoudadaozhong,regular
34374862,oneway,yes,regular
34374862,source,Yahoo hires,regular
34374864,highway,primary,regular
34374864,name,guangyuandonglu,regular
34374864,name:en,Guangyuan East Road,regular
34374864,oneway,yes,regular
34374865,highway,unclassified,regular
34374866,highway,footway,regular
